pos_name,tri1,tri2,tri3
pb,295,800,800
nb,-800,-800,-295
ps,38,181,324
ns,-324,-181,-38
pc,-1,75,150
nc,-150,-75,1
pb,43,50,50
nb,-50,-50,-43
ps,41,43,45
ns,-45,-43,-41
pc,-1,21,43
nc,-43,-21,1
nc,0,0,0
pb,1283,2000,2000
nb,-2000,-2000,-1283
ps,-1,740,1480
ns,-1480,-740,1
