pos_name,tri1,tri2,tri3
pb,261,800,800
nb,-800,-800,-261
ps,65,285,506
ns,-506,-285,-65
pc,-1,73,146
nc,-146,-73,1
pb,32,50,50
nb,-50,-50,-32
ps,19,26,34
ns,-34,-26,-19
pc,-1,12,24
nc,-24,-12,1
nc,0,0,0
pb,613,2000,2000
nb,-2000,-2000,-613
ps,-1,603,1207
ns,-1207,-603,1
