pos_name,tri1,tri2,tri3
pb,735,800,800
nb,-800,-800,-735
ps,68,413,759
ns,-759,-413,-68
pc,-1,137,274
nc,-274,-137,1
pb,41,50,50
nb,-50,-50,-41
ps,38,40,43
ns,-43,-40,-38
pc,-1,19,39
nc,-39,-19,1
nc,0,0,0
pb,752,2000,2000
nb,-2000,-2000,-752
ps,-1,613,1226
ns,-1226,-613,1
