pos_name,tri1,tri2,tri3
pb,452,800,800
nb,-800,-800,-452
ps,433,525,617
ns,-617,-525,-433
pc,-1,235,470
nc,-470,-235,1
pb,39,50,50
nb,-50,-50,-39
ps,7,24,41
ns,-41,-24,-7
pc,-1,9,18
nc,-18,-9,1
nc,0,0,0
pb,1029,2000,2000
nb,-2000,-2000,-1029
ps,-1,584,1169
ns,-1169,-584,1
