pos_name,tri1,tri2,tri3
pb,428,800,800
nb,-800,-800,-428
ps,208,374,541
ns,-541,-374,-208
pc,-1,177,354
nc,-354,-177,1
pb,13,50,50
nb,-50,-50,-13
ps,1,16,32
ns,-32,-16,-1
pc,-1,7,15
nc,-15,-7,1
nc,0,0,0
pb,1935,2000,2000
nb,-2000,-2000,-1935
ps,-1,983,1967
ns,-1967,-983,1
