pos_name,tri1,tri2,tri3
pb,443,800,800
nb,-800,-800,-443
ps,411,459,508
ns,-508,-459,-411
pc,-1,207,414
nc,-414,-207,1
pb,32,50,50
nb,-50,-50,-32
ps,19,29,39
ns,-39,-29,-19
pc,-1,13,27
nc,-27,-13,1
nc,0,0,0
pb,1491,2000,2000
nb,-2000,-2000,-1491
ps,-1,852,1705
ns,-1705,-852,1
