pos_name,tri1,tri2,tri3
pb,332,800,800
nb,-800,-800,-332
ps,243,401,559
ns,-559,-401,-243
pc,-1,163,326
nc,-326,-163,1
pb,17,50,50
nb,-50,-50,-17
ps,8,15,23
ns,-23,-15,-8
pc,-1,5,11
nc,-11,-5,1
nc,0,0,0
pb,1118,2000,2000
nb,-2000,-2000,-1118
ps,-1,771,1543
ns,-1543,-771,1
