pos_name,tri1,tri2,tri3
pb,644,800,800
nb,-800,-800,-644
ps,348,514,680
ns,-680,-514,-348
pc,-1,243,486
nc,-486,-243,1
pb,16,50,50
nb,-50,-50,-16
ps,14,22,30
ns,-30,-22,-14
pc,-1,8,16
nc,-16,-8,1
nc,0,0,0
pb,1516,2000,2000
nb,-2000,-2000,-1516
ps,-1,819,1639
ns,-1639,-819,1
