pos_name,tri1,tri2,tri3
pb,644,800,800
nb,-800,-800,-644
ps,348,514,680
ns,-680,-514,-348
pc,-1,243,486
nc,-486,-243,1
pb,21,50,50
nb,-50,-50,-21
ps,16,19,22
ns,-22,-19,-16
pc,-1,9,18
nc,-18,-9,1
nc,0,0,0
pb,1705,2000,2000
nb,-2000,-2000,-1705
ps,-1,857,1714
ns,-1714,-857,1
