pos_name,tri1,tri2,tri3
pb,397,800,800
nb,-800,-800,-397
ps,1,210,419
ns,-419,-210,-1
pc,-1,93,187
nc,-187,-93,1
pb,38,50,50
nb,-50,-50,-38
ps,5,25,45
ns,-45,-25,-5
pc,-1,11,22
nc,-22,-11,1
nc,0,0,0
pb,1418,2000,2000
nb,-2000,-2000,-1418
ps,-1,797,1595
ns,-1595,-797,1
