pos_name,tri1,tri2,tri3
pb,350,800,800
nb,-800,-800,-350
ps,313,359,406
ns,-406,-359,-313
pc,-1,162,324
nc,-324,-162,1
pb,34,50,50
nb,-50,-50,-34
ps,5,22,40
ns,-40,-22,-5
pc,-1,6,12
nc,-12,-6,1
nc,0,0,0
pb,701,2000,2000
nb,-2000,-2000,-701
ps,-1,512,1025
ns,-1025,-512,1
