pos_name,tri1,tri2,tri3
pb,497,800,800
nb,-800,-800,-497
ps,116,364,612
ns,-612,-364,-116
pc,-1,179,359
nc,-359,-179,1
pb,49,50,50
nb,-50,-50,-49
ps,7,28,50
ns,-50,-28,-7
pc,-1,12,25
nc,-25,-12,1
nc,0,0,0
pb,999,2000,2000
nb,-2000,-2000,-999
ps,-1,725,1451
ns,-1451,-725,1
