pos_name,tri1,tri2,tri3
pb,686,800,800
nb,-800,-800,-686
ps,447,590,734
ns,-734,-590,-447
pc,-1,237,474
nc,-474,-237,1
pb,35,50,50
nb,-50,-50,-35
ps,6,22,38
ns,-38,-22,-6
pc,-1,8,17
nc,-17,-8,1
nc,0,0,0
pb,648,2000,2000
nb,-2000,-2000,-648
ps,-1,637,1274
ns,-1274,-637,1
