pos_name,tri1,tri2,tri3
pb,432,800,800
nb,-800,-800,-432
ps,302,446,591
ns,-591,-446,-302
pc,-1,166,333
nc,-333,-166,1
pb,43,50,50
nb,-50,-50,-43
ps,0,22,44
ns,-44,-22,0
pc,-1,2,5
nc,-5,-2,1
nc,0,0,0
pb,1805,2000,2000
nb,-2000,-2000,-1805
ps,-1,905,1811
ns,-1811,-905,1
