pos_name,tri1,tri2,tri3
pb,434,800,800
nb,-800,-800,-434
ps,232,367,502
ns,-502,-367,-232
pc,-1,155,311
nc,-311,-155,1
pb,36,50,50
nb,-50,-50,-36
ps,24,33,42
ns,-42,-33,-24
pc,-1,15,31
nc,-31,-15,1
nc,0,0,0
pb,1707,2000,2000
nb,-2000,-2000,-1707
ps,-1,860,1720
ns,-1720,-860,1
