pos_name,tri1,tri2,tri3
pb,657,800,800
nb,-800,-800,-657
ps,29,375,722
ns,-722,-375,-29
pc,-1,152,304
nc,-304,-152,1
pb,36,50,50
nb,-50,-50,-36
ps,29,35,41
ns,-41,-35,-29
pc,-1,16,32
nc,-32,-16,1
nc,0,0,0
pb,710,2000,2000
nb,-2000,-2000,-710
ps,-1,532,1064
ns,-1064,-532,1
