pos_name,tri1,tri2,tri3
pb,260,800,800
nb,-800,-800,-260
ps,214,347,481
ns,-481,-347,-214
pc,-1,153,307
nc,-307,-153,1
pb,22,50,50
nb,-50,-50,-22
ps,15,22,29
ns,-29,-22,-15
pc,-1,10,20
nc,-20,-10,1
nc,0,0,0
pb,731,2000,2000
nb,-2000,-2000,-731
ps,-1,655,1310
ns,-1310,-655,1
